stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
LIN1F001,,"CAPOLINEA Viale dei Crociati, pal.16",,41.20803717103090,16.58160996712560,,,,
LIN1F002,,Viale dei Crociati-scala altezza pal. 1,,41.20740821556220,16.58329210708650,,,,
LIN1F003,,Via Madonna dei Martiri-civico 113,,41.20503840093120,16.58921950947140,,,,
LIN1F004,,Via San F. d'Assisi -civico 50,,41.20323863638620,16.5893661564068,,,,
LIN1F005,,Via I. Nievo- civico 3,,41.20132227956390,16.58980960779140,,,,
LIN1F006,,Corso V.Fornari-altezza civico 152,,41.20014070563100,16.59004769353690,,,,
LIN1F007,,Corso V.Fornari-civico 39,,41.19896953063670,16.5925692301251,,,,
LIN1F008,,Corso V.Fornari-altezza civico 14,,41.19799418837630,16.59465915452890,,,,
LIN1F009,,Via Terlizzi-altezza trav L. da Vinci,,41.19724613735120,16.59513532542490,,,,
LIN1F010,,Via R. Cormio-civico 46,,41.19505780236360,16.59263024968900,,,,
LIN1F011,,Via R. Cormio-civico 20,,41.19578307665090,16.59235405651330,,,,
LIN1F012,,Via Don F. Samarelli- altezza civico 53,,41.19724988221240,16.59063969242340,,,,
LIN1F013,,Via L. Einaudi-civico 8,,41.19643662983260,16.58843005413880,,,,
LIN1F014,,Via Ruvo-civico 22,,41.19768154334890,16.58468581164440,,,,
LIN1F015,,Via P. Togliatti-tra i civici 9-11,,41.19646182635000,16.58464988109560,,,,
LIN1F016,,Via Pio La Torre-civico 10,,41.19417275656590,16.58493035550910,,,,
LIN1F017,,Via Pio La Torre-civico 26,,41.1921903327933,16.58428727483700,,,,
LIN1F018,,Via L. Azzarita-civico 75,,41.19066766313830,16.58586876777170,,,,
LIN1F019,,Via L. Azzarita- altezza civico 22,,41.19019121583070,16.5884918224791,,,,
LIN1F020,,Via Terlizzi- Ospedale  Civile,,41.19218352150270,16.59120241715770,,,,
LIN1F021,,Via Galilei- civico 26/a,,41.19734925608090,16.59644442271930,,,,
LIN1F022,,Piazza A. Moro- Stazione Ferroviaria,,41.19635257005790,16.59676630626620,,,,
LIN1F023,,Via Baccarini-civico 141,,41.19719298670380,16.59882950360240,,,,
LIN1F024,,Via Baccarini-civico 87,,41.19931709823780,16.60179962187770,,,,
LIN1F025,,Via Pio IX-civico 14/b,,41.1999680556487,16.60346906325340,,,,
LIN1F026,,Via Pio IX-altezza traversa Via Vivaldi,,41.19886893472610,16.60585909430470,,,,
LIN1F027,,Via Don Minzoni-altezza civici 7-9,,41.19742779442490,16.60792261046390,,,,
LIN1F028,,Via Don Minzoni- civico 13,,41.19650060111060,16.60940146610290,,,,
LIN1F029,,Viale XXV aprile-Scala Via Piscina d'Amato,,41.19544988009060,16.61042025190000,,,,
LIN1F030,,Via G. di Vagno- civico 8,,41.19641558537830,16.61195173451050,,,,
LIN1F031,,Via G. Matteotti- altezza civico 21,,41.19826645988560,16.61085876563340,,,,
LIN1F032,,Via Giovinazzo- altezza staz. Carabinieri,,41.197619,16.613556,,,,
LIN1F033,,Via Giovinazzo- angolo Papa Leone XIII,,41.19975366642510,16.60902927479580,,,,
LIN1F034,,Via Giovinazzo- civico 1,,41.20123893180770,16.60571592028940,,,,
LIN1F035,,Via Ten. Fiorino- civico 23,,41.20237889829030,16.60325408526540,,,,
LIN1F036,,Piazza Garibaldi-civico 20,,41.20365712469590,16.6016867719422,,,,
LIN1F037,,Corso Dante-civico 30,,41.20465103532120,16.5995220404677,,,,
LIN1F038,,Via San Domenico- Isola Pedonale (Mercato),,41.2050238477664,16.5969166335689,,,,
LIN1F039,,Via San Domenico- civico 46,,41.20462490881520,16.59388696372050,,,,
LIN1F040,,Via Madonna dei Martiri- civico 82,,41.20463257524100,16.59073779336670,,,,
LIN1F041,,Via Madonna dei Martiri- civico 120,,41.20521326824910,16.5887888081202,,,,
LIN1F042,,Viale Cimitero- Ingresso Monumentale,,41.20551636146000,16.58108568651430,,,,
LIN1F043,,Viale Cimitero- Ingresso Nord,,41.20508983342150,16.57842124838370,,,,
LIN1F044,,Strada Vicinale Coppe- Altezza Oleificio,,41.2058564723136,16.57437466471670,,,,
LIN2F004,,Via Madonna dei Martiri-civico 51,,41.20419221118670,16.59204000064140,,,,
LIN2F005,,Via Madonna dei Martiri- civico 13/a,,41.20375771532400,16.59350902626180,,,,
LIN2F006,,Banchina San Domenico-Isola Ped. (Mercato),,41.2051727205418,16.59693387093270,,,,
LIN2F007,,Corso Dante-civico 13,,41.20463349873130,16.59932109254640,,,,
LIN2F008,,Piazza Garibaldi-civico 61,,41.20295485994300,16.60023494083400,,,,
LIN2F009,,Via Ten.Fiorino-civico 4,,41.20244357697710,16.60297231435150,,,,
LIN2F010,,Via Giovinazzo-civico 6,,41.2006522626917,16.60687633305590,,,,
LIN2F011,,Via Giovinazzo-altezza civico 65,,41.19961723421010,16.6092006268319,,,,
LIN2F012,,Via G. Matteotti-civico 21,,41.19834043122920,16.61083373575960,,,,
LIN2F013,,Via G. Di Vagno-civico 21,,41.19675461970480,16.6116187774361,,,,
LIN2F015,,Via Don Minzoni- angolo Viale XXV Aprile,,41.19573300583290,16.6103124819232,,,,
LIN2F016,,Via Don Minzoni- civico 7,,41.19771021916800,16.60790832155060,,,,
LIN2F017,,Via P. L. da Palestrina- altezza civico 5,,41.19873188993390,16.60735515104400,,,,
LIN2F018,,Via Baccarini- civico 70,,41.20011410806910,16.60274870515750,,,,
LIN2F019,,Via De Luca-civico 51,,41.19863951903220,16.59979414670850,,,,
LIN2F020,,Piazza Margherita di Savoia-alt. Civico 3,,41.199367536262,16.59697483015240,,,,
LIN2F034,,Via E. Germano- civico 37,,41.198055516,16.59598515,,,,
LIN2F035,,Piazza M. di Savoia- altezza civici 23-24,,41.19924954658060,16.59702741217310,,,,
LIN2F036,,Via Roma- civico 74,,41.20051917088100,16.59390747218330,,,,
LIN2F037,,Via Roma- civico 28,,41.20108488044340,16.59225896495650,,,,
LIN2F038,,Piazza Roma- civico 10 di Via Roma,,41.20170182499400,16.59040093801680,,,,
LIN2F039,,Via E. Ribera-civico 9,,41.20298554458470,16.58970612447020,,,,
LIN2F040,,Via San F. D'Assisi- altezza civico 3,,41.20435490854100,16.58989102949310,,,,
LIN3F001,,CAPOLINEA Via Caduti Lavoro n. 9,,41.20464752867450,16.5865113728343,,,,
LIN3F005,,Via Ten. Ragno n.6,,41.20336089566520,16.59604885471660,,,,
LIN3F006,,Piazza Vitt. Emanuele- isola pedonale,,41.20263608738550,16.59849059626110,,,,
LIN3F007,,Via Vitt. Emanuele n.48,,41.20281415386150,16.60041606213510,,,,
LIN3F009,,Via Baccarini n. 10,,41.20114777036910,16.60405367325090,,,,
LIN3F014,,Piazza Gramsci- altezza n. 80,,41.19596288625350,16.60632978537740,,,,
LIN3F015,,Viale A. Gramsci-parrocchia San Pio X,,41.19694505108780,16.6038844147114,,,,
LIN3F016,,Via Ten. Silvestri n. 27,,41.19809066096390,16.60132072736040,,,,
LIN3F020,,Via Terlizzi- 2 scala Rione Paradiso,,41.19546034423240,16.59377071848110,,,,
LIN3F021,,Via Terlizzi- Sala Ideal,,41.19325573003800,16.59185912060080,,,,
LIN3F022,,Via Terlizzi- Ospedale Civile,,41.19221155821770,16.59101954192680,,,,
LIN3F023,,Via Terlizzi - altezza n. 64/a,,41.19111738292620,16.59013768849970,,,,
LIN3F024,,Via Terlizzi- Villa Finocchiaro,,41.18904405216630,16.58837713432770,,,,
LIN3F025,,Via G. Falconeang. Via P. Borsellino,,41.1885336583405,16.58723952734370,,,,
LIN3F026,,Via Terlizzi-Villa Sofia,,41.1896767636294,16.58906325096450,,,,
LIN3F027,,5 str. S. Berlinguer O. ang. 8 str. OL. Martina,,41.1898089001191,16.59113902628010,,,,
LIN3F028,,Via G. Almirante n. 56,,41.1898276554501,16.5939492086093,,,,
LIN3F029,,Via G. Almirante n. 7,,41.19200471771690,16.59720687650860,,,,
LIN3F030,,Via della Liberta'  n. 33,,41.18807122009160,16.59831045392430,,,,
LIN3F031,,Via G. Spadolini n. 20 (in andata),,41.18620304733220,16.59771263275490,,,,
LIN3F032,,Via G. Spadolini n. 72,,41.18615777033020,16.5979276113072,,,,
LIN3F033,,Via G. Spadolini n. 72 (di ritorno),,41.18802398420140,16.5985620713608,,,,
LIN3F034,,Via G. Spadolini alt. n. 20,,41.19057504166470,16.60023975777640,,,,
LIN3F035,,Via Madonna della Rosa- alt. Villa n. 7,,41.19407227515560,16.59917264228180,,,,
LIN3F036,,Via Madonna della Rosa- alt. Trav. Via Pirandello,,41.19426395848020,16.59702358146210,,,,
LIN3F037,,Via Gen. C.A.dalla Chiesa-alt. Civ.74,,41.194653416,16.59645515,,,,
LIN3F038,,Corso Fornari n. 14,,41.19790814937720,16.59507577251380,,,,
LIN3F039,,Corso Fornari n. 70,,41.19900566790860,16.59268061662280,,,,
LIN3F040,,Corso Fornari n. 108,,41.19960573634510,16.59138434150140,,,,
LIN3F041,,Via Poggioreale n. 34,,41.19958307931410,16.58719771991670,,,,
LIN3F042,,Via V. Hugo- alt. Via San Bolivar,,41.20012439693350,16.58531535899260,,,,
LIN3F043,,Via C. Salvemini n. 3,,41.20216559464310,16.58593712542250,,,,
LIN4F001,,CAPOLINEA Via Respa Com. VV. UU.,,41.20220219841180,16.59865111912010,,,,
LIN4F002,,Via M. di Savoia - civici 84/86,,41.20080064579840,16.59772889692180,,,,
LIN4F006,,Via Salvucci - ang. Via Marinelli,,41.19506465793830,16.59103106671820,,,,
LIN4F007,,Via Salvucci - ang. Via Einaudi,,41.19568155881810,16.58848957436540,,,,
LIN4F008,,Via Togliatti - civico 9,,41.19650702779180,16.58478848268900,,,,
LIN4F009,,Via M. Altomare - civico 2,,41.19836308813570,16.58276952391100,,,,
LIN4F010,,Prol. A. Fontana - civico 9,,41.20011138420410,16.57931947688540,,,,
LIN4F011,,Prol. A. Fontana - civico 31,,41.19963007944830,16.58090870889880,,,,
LIN4F012,,Via A. Fontana - civico 9,,41.19872720429690,16.58427972845640,,,,
LIN4F019,,Via Terlizzi - ex Preventorio,,41.1724305772135,16.57432395695610,,,,
LIN4F020,,Via Terlizzi - Ristorante Magnolia,,41.1776118387743,16.5787358724595,,,,
LIN4F021,,Via Terlizzi - ex asilo infanzia,,41.18021773446440,16.58095191264820,,,,
